Location Name,Location Num,Operator,Type,State,Open Date
79th & 2nd In-Line,05287,Jared Caldwell,MALL,NY,24-Mar
7th & Broadway DTO,04855,Ben Ackley,DTO,AR,22-Jul
7th & Fig In-Line,03850,Danielle Evans,MALL,CA,18-Apr
7th Ave. & Roosevelt FSU,04793,Dylan Carder,FSU,AZ,23-Oct
7th Street [DC] In-Line,04502,DK Kang,MALL,DC,23-Mar
82nd & Milwaukee FSU,02719,Brandon Mulkey,FSU,TX,11-Jun
82nd & University FSU,03622,Brad Norris,FSU,TX,16-Jun
89th & Shea FSU,03246,Jesse Summer,FSU,AZ,14-Apr
91 & Orangethorpe FSU,04649,Steve Hollins,FSU,CA,22-Nov
918 8th Avenue In-Line,04054,Paul Daniels,MALL,NY,18-Nov
95 & 264 [NC] FSU,04269,Christy Proctor,FSU,NC,19-Oct
97th & Metcalf (KS) FSU,04610,Derek Nassick,FSU,KS,21-Dec
98th & Columbus In-Line,05646,Malcolm Brewer,MALL,NY,25-Mar
99 & Cypress Rosehill FSU,04983,Eric Sienko,FSU,TX,23-Nov
Abercorn DTO,00796,Timothy Connelly,DTO,GA,Aug-98
Aberdeen FSU,02928,Michael McFerren,FSU,MD,14-Sep
Abrams & LBJ FSU,02097,Carl Nelson,FSU,TX,8-May
Acadiana Mall,00003,John Arton,MALL,LA,Mar-79
Acworth FSU,01146,Andy Duncan,FSU,GA,1-Nov
Ada FSU,04180,Andrew Pratt,FSU,OK,18-Aug
Adams Plaza In-Line,04853,Duane Pierce,MALL,PA,22-Mar
Addie's Corner FSU,04405,Chip Hudson,FSU,FL,22-Feb
Addison & Elston (IL) FSU no DT,05229,Josh Galati,FSU,IL,23-Jun
Addison FSU,05521,Paul Kulas,FSU,TX,24-Nov
AdventHealth Orlando OCV,05627,Larry Smith,SAT,FL,25-Jan
Afton Ridge FSU,02083,Roland Mitchell,FSU,NC,8-Apr
Aggieland FSU,02209,Jerald Huggins,FSU,TX,8-Mar
Ahwatukee Foothills Town Center FSU,03128,Scott Yarbrough,FSU,AZ,13-Apr
Aiken FSU,01148,Tom Johnson,FSU,SC,Dec-00
Airline Highway FSU,03254,Greg Salomone,FSU,LA,14-Apr
Airline Hwy & Severn Ave. FSU,05171,Ralph Bartels,FSU,LA,24-May
Airport Blvd (AL) FSU,03313,Glenn Rosson,FSU,AL,14-Nov
Airport Highway FSU,03289,Justin Amburgey,FSU,OH,14-Oct
Airport Road FSU,04655,Bryan Strole,FSU,NC,21-Nov
Airport Way & Hwy 120 FSU,05309,Micah Payton,FSU,CA,25-Apr
Airway & Edgemere FSU,03976,Anthony Martinez,FSU,TX,18-Jul
Akers Mill Drive-Thru Only,00513,Marshall McCabe,DTO,GA,Nov-94
Ala Moana Mall,04668,Kurt Milne,MALL,HI,22-Oct
Alabaster FSU,01794,Constantine Zouboukos,FSU,AL,5-Oct
