Location Name,Location Num,Operator,Type,State,Open Date
Buda FSU,04066,Reece Howard,FSU,TX,19-Mar
Buffalo Grove (IL) FSU,05252,Allen Ordeanu,FSU,IL,23-Sep
Buford DTO,05519,Steve Warnstrom,DTO,GA,24-Nov
Burbank & Ben Hur FSU,04002,Corey Teem,FSU,LA,18-May
Burke Centre FSU,03374,Nick Fulgencio,FSU,VA,17-Jul
Burleson FSU,01417,Greg Ryan,FSU,TX,2-Oct
Burlington (IA) FSU,05774,Joel White,FSU,IA,25-Jan
Burlington Mall,00772,Daniel Mitchell,MALL,MA,Oct-99
Burlington Township FSU,03192,Jamie Gottschling,FSU,NJ,14-Mar
Burns Corner FSU,05105,Terrell Daniel,FSU,VA,23-Nov
Burnsville FSU (MN),03491,Andrew Johnson,FSU,MN,15-Sep
Busch Gardens Tampa OCV,04797,Denis Spradlin,SAT,FL,21-Sep
Bush River Road FSU,01149,Laurel Garcia,FSU,SC,Jan-00
Butler Blvd FSU,01727,Ben Bryant,FSU,FL,4-Dec
Byram FSU,04210,Justin Powell,FSU,MS,19-Feb
Byron [GA] FSU,04585,Steven Franklin,FSU,GA,20-Jun
C470 & Kipling FSU,01110,Lauren Plain,FSU,CO,Nov-00
Cabot FSU,05359,William Braswell,FSU,AR,23-Nov
Cache Road FSU,00941,Jonathan Pickett,FSU,OK,Mar-95
Cahaba Heights FSU,03948,Jerry Cotney,FSU,AL,21-Nov
Calallen FSU,03692,Denise Martinek,FSU,TX,19-Jul
Calera FSU,03934,Brad Johnson,FSU,AL,17-Jun
Calhoun FSU,00727,Chris Liberatore,FSU,GA,Jul-99
Camarillo Outlets FSU no DT,05363,Thad Ewing,FSU,CA,25-May
Cambridge Centre FSU,30023,Olivia Efford,FSU,ON,25-Jan
Cambridge FSU,04140,Christian Albert,FSU,MD,20-Feb
Camden FSU,02953,Kelley Myers,FSU,SC,13-Jun
Camden Town Center FSU,01849,Ron DiFava,FSU,DE,8-Mar
Camelback & 16th Street FSU,03191,Chris Hall,FSU,AZ,13-Aug
Camp Creek Parkway FSU,01496,Melissa Winkfield,FSU,GA,3-Jul
Camp Wisdom & 360 FSU,02095,Wayne Hassler,FSU,TX,8-May
Campbell Lane FSU,01648,Andy Robinson,FSU,KY,4-Sep
Campus Circle FSU,04370,Terry Widener,FSU,FL,20-Aug
Canal and Columbia Center Blvd. FSU,05553,Dawn Hodges,FSU,WA,25-Jun
Candlers Crossing FSU,04439,Lee Hall,FSU,VA,22-Jan
Cane Bay FSU,04868,Nadia Matson,FSU,SC,22-Oct
Canton Crossing FSU,03236,Amanda Butler,FSU,MD,14-May
Canton Marketplace FSU,02488,Kevin Williams,FSU,GA,9-May
Cantrell Road FSU,02353,Michel Harding,FSU,AR,9-Nov
Cape Cod FSU,03545,Annemarie Cash,FSU,MA,16-Nov
Cape Fear Valley Medical Center OCV,05197,Katelyn Downey,SAT,NC,23-Nov
Cape Girardeau FSU,02829,Brian House,FSU,MO,11-Sep
Capital Centre FSU,01368,Keith Singletary,FSU,MD,3-Nov
Capital Circle FSU,00760,Steve Elyea,FSU,FL,May-99
Capital Crossing FSU,00868,Kelly McKeown,FSU,NC,Aug-94
Capital Plaza FSU,04611,Jessie Chesson,FSU,MD,23-Jan
Capitol & Silver Creek FSU,04434,Ashleigh Andrade,FSU,CA,25-Feb
Capitol Hill East Drive-Thru Only,03882,David Bramlett,DTO,DC,17-Jun
Carlisle FSU,03963,Chuck Steppe,FSU,PA,17-Aug
Carlsbad West FSU no DT,04306,Tyler Reese,FSU,CA,24-Jun
Carmel Mountain FSU,02334,Kyle Weston,FSU,CA,11-Sep
Carolina Forest FSU,01762,Steve Rumley,FSU,SC,5-Sep
Carolina Mall,00368,Matt Rice,MALL,NC,Nov-87
Carolina Pavilion FSU,00950,Terry Shelton,FSU,NC,Dec-95
Carolina Place,00429,Terry Shelton,MALL,NC,Jul-91
Carolinas Medical Center OCV,00652,Peter Cestrone,SAT,NC,Dec-96
Carraway Village FSU,04263,Sammy Culberson,FSU,NC,20-Apr
Carrier Towne Crossing FSU,00741,Robin Harris,FSU,TX,Jul-98
Carrollton FSU,00829,David Daniels,FSU,GA,Jun-91
Carson & Vermont FSU,04279,Ermias Ghebrezghi,FSU,CA,20-Aug
Carson Valley FSU,04132,Matt Hock,FSU,NV,21-Jan
Casa Grande FSU,01966,Megan Johnson,FSU,AZ,10-Sep
Cascade (MI) FSU,04428,Jamie Ochsner,FSU,MI,22-Dec
Cascade Park FSU,03507,John Dombroski,FSU,WA,16-Sep
Cascade Road FSU,03797,Jon Ferguson,FSU,GA,17-Apr
Casselberry FSU,03270,Billy McClarnon,FSU,FL,14-Jan
Castleton Square,00021,Blake Burnette,MALL,IN,Oct-80
Cedar Hill FSU,00799,Joseph Morris,FSU,TX,Dec-98
Cedar Hills Blvd FSU,04048,Dean Hogan,FSU,OR,19-Jul
Cedar Park FSU,02322,Priscilla Mendoza,FSU,TX,8-Sep
Cedarbrook Plaza (PA) FSU,05075,Lawrence Kibunjah,FSU,PA,24-Dec
Cedartown [GA] FSU,05282,Kristen Brannon,FSU,GA,23-Mar
Celebrate Virginia FSU,01814,Stevie Kramb,FSU,VA,7-Jan
Celebration FSU,01537,Dave Koepsell,FSU,FL,4-Apr
Celebration at Federal Way FSU,03392,Ryan Powell,FSU,WA,17-Sep
Centennial Hills at 95 Plaza FSU,04548,Misti Cunningham,FSU,NV,22-Mar
Center of the Universe FSU,02945,Howe Rice,FSU,VA,13-May
Centerton Square FSU,01704,Rich Reiner,FSU,NJ,6-Apr
Centerville FSU,03259,Kelli Smith,FSU,UT,14-Mar
Centerville Hwy FSU,05562,Zack Price,FSU,GA,25-Mar
Central & Eubank FSU,03235,Ken Sersun,FSU,NM,16-Jan
Central & McCord FSU,03896,Justin Amburgey,FSU,OH,17-Sep
Central & Rock Road FSU,02817,Andrew Nelson,FSU,KS,12-Mar
Central & Southwestern FSU,01393,Jeff White,FSU,TX,2-Mar
Central Ave. & Riverside Plaza FSU,03791,Justin Beard,FSU,CA,19-Jan
Central Avenue & Colvin Avenue (NY) FSU,05325,Michael Gray,FSU,NY,24-Dec
Central Mall (TX),00026,Jonathan Cress,MALL,TX,Nov-78
Central Park FSU,01634,Todd Fleming,FSU,VA,4-Mar
Centre Pointe FSU,01936,Debbie Blind,FSU,SC,7-Mar
Centre at Glen Burnie FSU,01433,Billy McGrath,FSU,MD,4-Jan
Centre at Salisbury,00423,Rob Gibson,MALL,MD,Jul-90
Centreport FSU,03834,Vanessa Bales,FSU,TX,17-May
Century Drive [AR] FSU,06205,Mitchell Kelley,FSU,AR,25-Aug
Century Farms FSU,05523,David Speth,FSU,TN,25-Mar
Cerrillos Road FSU,03936,Samantha Gonzalez,FSU,NM,18-Apr
Cerritos FSU,01960,Austin Wiersma,FSU,CA,7-Mar
Chambers Town Center FSU,03471,Edmond Long,FSU,TX,15-Jul
Chambers and Parker Road FSU,01304,Adam Bridge,FSU,CO,4-Jan
Chambersburg FSU,03406,Adam Donius,FSU,PA,16-Jan
Chamblee Plaza FSU,00804,Theresa Wilson,FSU,GA,Nov-87
Champaign (IL) FSU,04325,Dan Harrison,FSU,IL,19-Oct
Champions Center FSU,03752,Sandy Lamb,FSU,TX,17-Jun
Champions Crossing DTO,05565,Andrew Gaddie,DTO,FL,25-Jan
Chandler Festival FSU,02567,Don Elam,FSU,AZ,10-Mar
Chanhassen FSU,03840,Andrew Armstrong,FSU,MN,17-Jun
Chantilly Air and Space FSU,02915,Mike Athanasakis,FSU,VA,16-Jun
Chantilly FSU,03316,Peter Kim,FSU,VA,17-Nov
Chapel Hill FSU,02197,Erich Weiss,FSU,OH,7-Dec
Chapel Hill Road DTO,05665,Jordan Phillips,DTO,GA,25-Sep
Chapel Hill University Place FSU,04954,Nate MacDonald,FSU,NC,24-Sep
Chapman Highway FSU,02775,Tim Whittemore,FSU,TN,11-Mar
Charleston & Fort Apache In-Line DT,04293,Bill Carnohan,FSU,NV,21-Jan
Charleston Town Center,00381,Alan Smith,MALL,WV,Jun-89
Charlotte Hall FSU,05138,Matt Ogle,FSU,MD,25-Feb
Charlotte Pike FSU,02886,Will Sims,FSU,TN,11-Dec
Chase Field OCV,05177,Matthew Richardson,SAT,AZ,22-Apr
Chastain Road In-Line DT,02146,Brad Roper,FSU,GA,7-Sep
Chastain Square FSU,00495,Jerry Goebeler,FSU,GA,1-Jan
Cheektowaga FSU,03977,Cassandra Sheedy,FSU,NY,18-Nov
Cheltenham FSU,02613,Lawrence Kibunjah,FSU,PA,10-Nov
Chenal & Markham FSU,02740,John Spenst,FSU,AR,11-Jun
Cherokee Place FSU,00534,Glenn Jordan,FSU,GA,Nov-95
Cherry Creek FSU,03643,Jekabs Bikis,FSU,CO,16-Nov
Cherry Hill FSU,01421,Dave Curran,FSU,NJ,3-Aug
Cherry Road FSU,00835,Chad Sheley,FSU,SC,Jul-99
Cherrydale Point FSU,01309,Steven Bryant,FSU,SC,1-Mar
Chester FSU,01629,Jason Branch,FSU,VA,5-Nov
Chesterfield Plaza FSU,01227,Jason Umberger,FSU,VA,1-May
Chesterfield Township (MI) FSU,05506,John Shamam,FSU,MI,24-Nov
Chesterfield Valley FSU,01976,Jeff Greene,FSU,MO,7-Aug
Chicago Ridge FSU,03116,Chelsea Espin,FSU,IL,13-Sep
"Chick-fil-A, Inc.",00000,Alex Wallace,SAT,GA,Jan-46
Chickasha [OK] FSU,05497,Kyra Green,FSU,OK,23-Nov
Chicopee FSU,03279,Robert Hewes,FSU,MA,14-Feb
Children's Hospital of Georgia OCV,05317,Adam Edwards,SAT,GA,23-Oct
Chino Hills FSU,01517,David Dinasan,FSU,CA,4-Jan
Chisholm Trail Ranch FSU,04192,Dusty Russell,FSU,TX,20-Apr
Christiana FSU,03315,Luke Trader,FSU,DE,16-Mar
Christiana Mall,01064,Adam Marcus,MALL,DE,9-Nov
Christiansburg FSU,05049,Eric Kuchan,FSU,VA,23-Sep
Christopher Newport FSU,02081,Sean McClure,FSU,VA,9-Oct
Chula Vista West FSU,04299,Michael Gonzales,FSU,CA,24-Nov
Church Street - Nashville DFL,04259,John Moore,SAT,TN,18-Oct
Church Street FSU,01756,Paul Alverson,FSU,SC,5-Apr
Cibolo FSU,05169,Tyler Haile,FSU,TX,23-Nov
Cicero FSU,04018,Jimmer Szatkowski,FSU,NY,18-Feb
Cielo Vista Mall,00033,Anthony Martinez,MALL,TX,Nov-81
Cienega Triangle FSU,04123,Stanley Webster,FSU,CA,21-Jan
Cinco Ranch FSU,01695,Rusty Wylie,FSU,TX,5-Jun
Cinnaminson DTO,04728,Steve Cozzi,DTO,NJ,25-Jul
Citadel Crossing FSU,04495,Tucker Braun,FSU,CO,22-Dec
Citadel Mall,00032,Trey Campbell,MALL,SC,Jul-81
Citrus Park Town Center,00787,Jason Dittman,MALL,FL,Mar-99
Citrus Plaza FSU,01767,Jacob Ramos,FSU,CA,7-May
City Base Landing FSU,01807,Don Spice,FSU,TX,5-Nov
City Creek Center,03121,Harrison Groom,MALL,UT,12-Mar
City of Industry FSU,02257,Bob Sun,FSU,CA,8-Jul
CityLine FSU,03740,Philip Hassler,FSU,TX,17-Mar
Cityview FSU,01201,Mike Janicek,FSU,TX,Dec-00
Clackamas Promenade FSU,03485,Brian Davis,FSU,OR,16-Apr
Clairemont DTO,03778,Glenn Murdock,DTO,CA,18-Apr
Claremore FSU,03829,Brian Treat,FSU,OK,17-Aug
Clark Road FSU,01609,James Young,FSU,FL,4-Apr
Clarksville FSU,03433,Nick Jones,FSU,MD,18-May
Classen Point FSU,04935,Tricia Whitthorne,FSU,OK,23-Jan
Clay (NY) FSU,04411,Rob Warner,FSU,NY,21-Apr
Clayton FSU,01763,Jay Couey,FSU,GA,4-Oct
Clearwater FSU,01526,Russ Voor,FSU,FL,3-Aug
Cleburne [TX] FSU,04619,Matt Flaniken,FSU,TX,20-Nov
Clemmons FSU,03617,David Moore,FSU,NC,17-Jun
Clemson FSU,02536,Herb Tyler,FSU,SC,9-Jul
Cleveland (GA) FSU,02913,Skyler Holmes,FSU,GA,15-Aug
Cleveland Avenue FSU,00683,David Cronin,FSU,GA,May-97
Cleveland Mall,00035,Brennan Dorsett,MALL,NC,Sep-82
Clift Farms FSU,04538,Norman Dull,FSU,AL,21-Jun
Clifton Park Center (NY) FSU,04904,Scott Payne,FSU,NY,23-Jul
Clinton FSU,01257,Neil Osborne,FSU,MS,2-Sep
Clinton Hill In-Line,05572,Brandon Hurst,MALL,NY,24-Nov
Clintonville FSU,04826,Adam DiSibio,FSU,OH,24-Apr
Coastal Grand,01506,Roberta Thompson,MALL,SC,4-Mar
Coastland Center,00039,Mercedes Brown,MALL,FL,Nov-81
Cobb Corners FSU,01355,Bill Lehnes,FSU,NC,1-Dec
Cockrell Hill Drive-Thru Only,03177,Jeff Mulkey,DTO,TX,14-Jun
Coconut Creek FSU,03841,Brent Baillio,FSU,FL,20-Jul
Coconut Palm FSU,05224,Drew Kelly,FSU,FL,24-Oct
Coit & Spring Creek FSU,01282,John Maroney,FSU,TX,1-Jun
Colerain Commons FSU,03532,Marc Osborne,FSU,OH,16-Apr
Colfax & Garfield FSU,03137,Kevin Brock,FSU,CO,14-Jul
Coliseum Boulevard FSU,03479,Jeff Hoffman,FSU,IN,19-Jan
Coliseum Drive FSU,01102,Red Witten,FSU,VA,Jun-00
College Downs FSU,05285,Rob Rogers,FSU,NC,23-Dec
College Drive FSU,02620,Brad Arton,FSU,LA,11-Nov
College Football Hall of Fame,02977,Brandon Sosebee,MALL,GA,14-Aug
College Mall,00442,Wes Key,MALL,IN,Nov-90
College Street FSU,03312,Robert Henckel,FSU,TX,15-Jan
Colleyville Blvd & Main FSU,04496,Braden Shaffer,FSU,TX,21-Jan
Collier Township (PA) FSU,04582,Andy Pulkowski,FSU,PA,22-Dec
Collierville FSU,01130,Grant Gibbs,FSU,TN,Feb-00
Colonial Blvd. FSU,01571,Bruce Adkins,FSU,FL,4-Jan
Colonial Heights FSU,02943,Stacie Anderson,FSU,VA,14-Feb
Colonial Plaza FSU,00616,Randy Parks,FSU,FL,Oct-99
Colonies Crossroads FSU,01544,Ed Hawkins,FSU,CA,5-Oct
Colony Square,00440,Mariesha Pugh,MALL,GA,Apr-91
Columbia (TN) FSU,02869,Caleb Mathis,FSU,TN,12-Mar
Columbia Mall (MD),00041,Nick Jones,MALL,MD,Aug-81
Columbiana Centre,00430,Andrew Brantley,MALL,SC,Jul-90
Columbus Commons FSU,01665,John Hincken,FSU,PA,4-Dec
Columbus FSU,02877,Brittany Cofield,FSU,MS,12-Jan
Columbus National FSU,03659,Grant Parker,FSU,IN,16-Apr
Columbus Park Crossing FSU,04133,Todd Kalish,FSU,GA,18-Jan
Commack FSU,03567,Bryan Beasley,FSU,NY,16-Nov
Commerce FSU,01140,Sam West,FSU,GA,Nov-99
Commercial St In-Line,30071,Mike Hoy,MALL,EN,25-Oct
Concord Mall,00467,Allie Stephenson,MALL,DE,Nov-93
Concord Mills FSU,01105,Roland Mitchell,FSU,NC,2-Jan
Concord Parkway FSU,03387,Stockton Perry,FSU,NC,14-Oct
Concord Township FSU,02469,Jim Flood,FSU,PA,9-Oct
Concord at the Village FSU,05498,John Charping,FSU,NC,25-Mar
Conestoga Marketplace (NE) FSU,05668,Carl Dann,FSU,NE,25-Sep
Constant Friendship FSU,01086,Michael McFerren,FSU,MD,4-Mar
Conway Commons FSU,01706,Alan Kizer,FSU,AR,4-Oct
Conyers FSU,04423,Ben Hardy,FSU,GA,20-Nov
Cookeville FSU,01601,Ben Prine,FSU,TN,3-Dec
CoolSprings Galleria (Mall),00431,Brandon Frazier,MALL,TN,Aug-91
Coon Rapids at Riverdale FSU,03154,Alex McLaughlin,FSU,MN,13-Oct
Coors FSU,04107,Dan O'Bryan,FSU,NM,20-Mar
Copley Square In-Line,04205,Matt DeMichele-Rigoni,MALL,MA,22-Jan
Copperas Cove FSU,03247,Stephen Kennedy,FSU,TX,14-Feb
Copperfield FSU,00888,Sydnea Rutland,FSU,TX,Sep-94
Coral Ridge Mall,02158,Chase Williby,MALL,IA,7-Apr
Coral Springs FSU,01877,Samuel Poeana,FSU,FL,7-Mar
Cordele FSU,02972,Carter Brackett,FSU,GA,13-Jan
Cordova Mall (Inside),00050,Kathy Worley,MALL,FL,Aug-71
Corinth [MS] FSU,04986,David Rogers,FSU,MS,22-Mar
Cornelia FSU,02981,Chris Wright,FSU,GA,12-May
Cornelius FSU,04078,Joe Hatzopoulos,FSU,NC,20-Jul
Cornerstone FSU,03276,Marla Davis,FSU,OH,15-Dec
Corridor Market Place FSU,00782,Chris Dinoto,FSU,MD,Dec-99
Corsicana [TX] FSU,04627,Dawn Kosir,FSU,TX,20-Nov
Cortez Plaza FSU,03172,Nathan Hoeksema,FSU,FL,13-Aug
Cotswold DTO,01231,Andre Harakas,DTO,NC,1-Sep
Cottonwood FSU,01688,Margo Wilson,FSU,NM,4-Nov
Cougar & State FSU,03304,Terry Crook,FSU,UT,14-Jan
Countryside & US Hwy 19 FSU,04034,Russ Voor,FSU,FL,18-Nov
Countryside FSU,03596,Jesse Lopez Valencia,FSU,IL,16-Mar
County Line Road FSU,00551,Scott Perdue,FSU,MS,Nov-96
Covington (GA) FSU,04285,Chris Giella,FSU,GA,19-Jun
Covington - Highway 190 FSU,01484,Rick Gonzalez,FSU,LA,5-Jun
Covington - Highway 21 FSU,01451,Lauren Nelson,FSU,LA,6-Aug
Covington Town Center FSU,05300,Chris Giella,FSU,GA,23-Nov
Coweta Crossroads FSU,01222,Ronnie Clotfelter,FSU,GA,2-Jan
Cox Rd FSU,04819,Nolan Hatley,FSU,NC,22-Jun
Crabtree Valley Mall,00060,Mason Thiele,MALL,NC,Aug-72
Craig Road & Scott Robinson FSU,04113,Amy Malmrose,FSU,NV,20-Mar
Cranberry FSU,01583,Ron Trout,FSU,PA,4-Sep
Crater Lake & Pacific Hwy FSU,04101,Chris Peyton,FSU,OR,20-Jan
Creek Turnpike & Aspen Ave FSU,05268,Jeff Kraft,FSU,OK,24-May
Creekview Drive FSU,05472,Jake Roye,FSU,TX,25-Apr
Creekwood FSU,01322,Jonathan Ith,FSU,FL,1-May
Crenshaw & Amsler FSU,04147,Ermias Ghebrezghi,FSU,CA,21-Sep
Crenshaw & Redondo Beach Blvd FSU,04116,Philip Myers,FSU,CA,20-Apr
Crestview FSU,03986,Kyle Schisler,FSU,FL,18-May
Crestwood (IL) FSU,04220,Ximena Pena-Rogers,FSU,IL,19-Nov
Creve Coeur FSU,05161,Devin Bruce,FSU,MO,24-Feb
Crocker Park (OH) FSU,04766,Damian Grana,FSU,OH,22-Apr
Crofton FSU,03458,Brian Smith,FSU,MD,17-Apr
Crosby FSU,04802,Josh Pogue,FSU,TX,22-Aug
Cross Pointe FSU,01653,Rich Stierwalt,FSU,IN,4-Jul
Cross Roads FSU,03657,Shawn Self,FSU,TX,16-Oct
Crossings at South Corona FSU,01564,Shawn York,FSU,CA,4-Dec
Crossroads Blvd. & I-25 FSU,05274,Todd Orlando,FSU,CO,24-Sep
Crossroads Center FSU,03513,Doug Marshall,FSU,MN,16-Sep
Crossroads Plaza Cary FSU,00833,Paul Junkins,FSU,NC,Mar-92
Crossroads Towne Center FSU,01693,Kory Kaye,FSU,AZ,5-Nov
Crossville [TN] FSU,05084,Derek Allen,FSU,TN,22-Sep
Crossways Center FSU,04324,Shelita Meadows,FSU,VA,20-Jul
Crown Point (IN) FSU,05480,Tyler Carter,FSU,IN,24-Sep
Crown Point Plaza FSU,01233,Greg Jones,FSU,TN,Nov-00
Crystal City In-Line,02673,George Demetriades,MALL,VA,10-Nov
Crystal Lake FSU,02927,Luckson Duverne,FSU,IL,12-Aug
Cullman South FSU,01530,Randy Earnest,FSU,AL,3-Aug
Culpeper Colonnade FSU,02125,Rick Combs,FSU,VA,7-Jul
Cumberland FSU,02784,Phil Kelley,FSU,NJ,12-Mar
Cumberland Mall,00070,Marshall McCabe,MALL,GA,Jul-73
Custer & 121 FSU,01951,Hank Durbin,FSU,TX,6-Dec
Cutler Bay FSU,05462,Oliver Moore,FSU,FL,24-Oct
Cypress Creek Town Center FSU,03508,Britt Young,FSU,FL,16-Jun
Cypress Lake FSU,01666,Peter Glanvill,FSU,FL,4-Sep
Cypress Ranch FSU,04763,Carlos Brito,FSU,FL,23-Jan
Cypress Towne Lake FSU,03509,David Oakes,FSU,TX,16-Sep
D'Iberville FSU,02463,Max Benson,FSU,MS,9-Oct
DC USA In-Line,03400,Treh Haynes,MALL,DC,15-Nov
Dacula FSU,02802,Bob Garrett,FSU,GA,11-Dec
Dadeland Mall,00073,Justin Lindsey,MALL,FL,Feb-86
Dahlonega FSU,01881,Tony Kellar,FSU,GA,6-Mar
Dakota Crossing FSU,04118,Jessie Chesson,FSU,DC,19-May
Dallas (GA) FSU,02679,Kurt Davis,FSU,GA,11-Jul
Dallas Baptist University OCV,05894,Jeff Mulkey,SAT,TX,24-Aug
Dalton FSU,00817,Isaac Holbert,FSU,GA,Apr-90
Dalton Mall,00332,Jake Larios,MALL,GA,Jul-80
Danbury Fair Mall,03549,Devon Scanlon,MALL,CT,14-Nov
Danville Mall,00222,Colin Brady,MALL,VA,Aug-84
Danville [KY] FSU,05460,Nate Smith,FSU,KY,23-Dec
Daphne FSU,01223,Daniel Nance,FSU,AL,May-00
Dartmouth (MA) FSU,04631,Julie Gallagher,FSU,MA,25-Sep
Dauphin Street FSU,01350,Darin Wynn,FSU,AL,2-Jan
Dave Lyle Boulevard FSU,01270,Randy Barfield,FSU,SC,Dec-00
Davenport FSU,02363,Jeremy Tatman,FSU,IA,8-Oct
Davie North FSU,02600,Felix Hodges,FSU,FL,10-Oct
Davie South FSU,04272,Felix Hodges,FSU,FL,21-May
Davis Lake FSU,01817,Stan Stepp,FSU,NC,5-Dec
Dawsonville FSU,01469,Tony Kellar,FSU,GA,2-Sep
Day Street FSU,02241,Jason Molinari,FSU,CA,7-Oct
Dayton Mall,00076,Grace Neeley,MALL,OH,Jun-81
DeFuniak Springs [FL] FSU,05188,Daniel Neil,FSU,FL,23-Jul
DeSoto FSU,05438,James Pruitt,FSU,TX,24-May
DeZavala Road FSU,00680,Chad Helwig,FSU,TX,Mar-00
Debbie Ln & Matlock Rd FSU,04911,Brad Breedlove,FSU,TX,22-Dec
Dedham FSU,03683,Chad Sargent,FSU,MA,17-Oct
Deer Creek FSU,05331,Rey Ferreyro,FSU,OK,24-Oct
Deer Park FSU,02866,Ron Acosta,FSU,TX,12-Jun
Deer Valley FSU,02226,Jeff Myles,FSU,AZ,7-Nov
Deerbrook Mall,00078,Jackie Echard,MALL,TX,Jul-84
Deerfield (IL) FSU,04227,Joe Rhodes,FSU,IL,19-Nov
Deerfield Beach DTO,04991,Efraim Silva,DTO,FL,25-Mar
Deerfield Crossing FSU,02486,Markus Schleidt,FSU,OH,9-May
Del Amo In-Line,02909,Brady Strickland,MALL,CA,12-Mar
Del Rey & Lincoln Drive-Thru Only,03658,Julian Hollar,DTO,CA,16-Dec
Del Rio FSU,03180,Rodrigo Ortega,FSU,TX,15-Jul
Del Sur FSU,03716,Eric Zuidema,FSU,CA,17-Feb
Delafield (WI) FSU,04291,Christy Anderson,FSU,WI,20-Feb
Deland FSU,03749,Jamey Vance,FSU,FL,17-Jan
Dell Range FSU,03335,Raymond Mefford,FSU,WY,15-Apr
Delran FSU,01385,Steve Cozzi,FSU,NJ,3-Nov
Delray Beach FSU,03146,Susan Leffert,FSU,FL,15-Mar
Delta Center OCV,04597,Nick Reynolds,SAT,UT,19-Oct
Delta Shores FSU,03730,Liviu Vizitiu,FSU,CA,18-Feb
Denham Springs FSU,03319,Jeffrey Holifield,FSU,LA,14-Dec
Denison [TX] FSU,04957,Halle Suarez,FSU,TX,22-Aug
Denton Towne Crossing FSU,01919,Matt Listi,FSU,TX,6-Aug
Denver (NC) FSU,03644,Shannon Holland,FSU,NC,16-Sep
Denver West FSU,03120,Frank Johnson,FSU,CO,13-Jun
Deptford FSU,01494,Tom Henry,FSU,NJ,4-Feb
Deptford Mall,00454,Tom Henry,MALL,NJ,Sep-91
Derby Marketplace FSU,03297,Nate White,FSU,KS,15-Jan
Des Peres FSU,02665,David Bruce,FSU,MO,11-Feb
Desert Blvd. FSU,04081,Edgar Ortega,FSU,TX,19-Mar
Destin FSU,04796,Tripp Hill,FSU,FL,23-Jan
Devonshire & Reseda FSU,03827,Lindsay Bankhardt,FSU,CA,18-May
Devonshire FSU,30005,Jordan Schmidt,FSU,ON,21-Oct
Dexter Avenue FSU,04261,Cameron Goettsche,FSU,CA,19-Nov
Dickson City FSU,04397,Keith Kelly,FSU,PA,21-Dec
District Heights FSU,02608,Trevelle Harvey,FSU,MD,12-Aug
Dixie Hwy (KY) FSU,03587,Ryan Fitzgerald,FSU,KY,16-Mar
Dixieland Road (TX) FSU,02407,Francisco Castellanos,FSU,TX,10-Sep
Dobbin Center FSU,01454,Joe Dinoto,FSU,MD,4-Apr
Dogwood Festival FSU,01207,Keys Hayes,FSU,MS,2-Apr
Donna FSU,05496,Toni Marbar-Ruiz,FSU,TX,24-Nov
Doral FSU,04835,Mauricio Leon,FSU,FL,23-Aug
Doraville Plaza FSU,00819,Brian Jones,FSU,GA,Jun-90
Dorchester Road FSU,01882,Daniel Dickerson,FSU,SC,5-Sep
Douglas [GA] FSU,04584,Matt Baker,FSU,GA,20-Nov
Douglasville FSU,00811,Mike Moore,FSU,GA,Mar-89
Dowlen Road FSU,01449,Robert Henckel,FSU,TX,2-Nov
Downey FSU,03328,Josiah Borg,FSU,CA,14-Sep
Downingtown FSU,02065,Fatorma Siafa,FSU,PA,8-Jan
Downtown Athens In-Line,04234,Shane Todd,MALL,GA,18-Nov
Downtown Bentonville FSU,02234,Mark Hufford,FSU,AR,8-Apr
Downtown Branson FSU,03381,Kevin Hutcheson,FSU,MO,15-Mar
Downtown Decatur FSU,01873,Rodney Johnson,FSU,GA,5-Mar
Downtown Indy (IN) In-Line,04366,Kevin Brown,MALL,IN,22-Aug
Downtown Meridian (MS) FSU,05651,Brian Russell,FSU,MS,25-Sep
Draper & 123rd FSU,03332,Troy Apolonio,FSU,UT,14-Oct
Dressler Road FSU,01734,George Rosche,FSU,OH,5-Jan
Drexel Town Square FSU,03576,Danica Gramza,FSU,WI,16-Mar
Dublin Commons FSU,03985,Ryan Saxby,FSU,CO,19-Jan
Dublin FSU,00600,David Roberts,FSU,GA,Dec-95
Dubuque FSU,03572,Jon-Paul Reed,FSU,IA,16-Sep
Dulles 28 and Waxpool Road FSU,03474,Brian Summers,FSU,VA,16-Nov
Dulles Town Crossing FSU,01171,Bill Digges,FSU,VA,2-Mar
Duluth (MN) FSU,05418,Jon Farr,FSU,MN,24-Nov
Dumfries FSU,03185,Natalie Yang,FSU,VA,15-Jan
Duncan FSU,02966,Matt Thompson,FSU,SC,12-Apr
Dupont In-Line,04346,Andrew Smith,MALL,DC,20-May
Dupont Road (IN) FSU,05580,PJ Strength,FSU,IN,25-Jun
Dwarf House Chick-fil-A Classics Mt. Berry Square,70051,Greg Major,DH,GA,13-Nov
"Dwarf House Group, LLC",70060,Company Operated,SAT,GA,Jan-46
Dwarf House Shipping Container Drive-Thru,70052,Greg Major,DH,GA,17-Oct
Dyersburg FSU,02780,Clint Myers,FSU,TN,11-Mar
E. Brandon/Valrico FSU,01250,Jeff Jones,FSU,FL,3-Mar
E. Colorado Blvd FSU,03349,Adaobi Gwacham,FSU,CA,14-Dec
E. University Ave FSU,03693,Matt Carper,FSU,NM,17-Feb
Eagan FSU,03989,Nick Murad,FSU,MN,18-Feb
Eagle Harbor FSU,01203,Cary Arnold,FSU,FL,Oct-00
